Game URL,Vote_precentage
https://www.roblox.com/games/277751860/Epic-Minigames?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=277751860&position=87&universeId=110181652,89%
https://www.roblox.com/games/8916037983/starving-artists-DONATION-GAME?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8916037983&position=88&universeId=3367801828,89%
https://www.roblox.com/games/4855457388/Demonfall-4-0?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4855457388&position=89&universeId=1650291138,86%
https://www.roblox.com/games/4972091010/Zombie-Uprising?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4972091010&position=90&universeId=1709832923,95%
https://www.roblox.com/games/11497119928/PET-PARTY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=11497119928&position=91&universeId=4086773669,67%
https://www.roblox.com/games/9285238704/Race-Clicker?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9285238704&position=92&universeId=3476371299,96%
https://www.roblox.com/games/8369888266/Redcliff-City-RP?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8369888266&position=93&universeId=3204175584,88%
https://www.roblox.com/games/7645738534/Light-Game-Game-7?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7645738534&position=94&universeId=2970472544,74%
https://www.roblox.com/games/12813519921/Wheel-Drawing-Obby?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12813519921&position=95&universeId=4486590228,46%
https://www.roblox.com/games/4522347649/FREE-ADMIN?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4522347649&position=96&universeId=1452258989,76%
